Designator,Mid X,Mid Y,Layer,Rotation
C1,44.10,59.35,Top,0.0
C2,44.09,65.20,Top,0.0
C5,54.15,52.80,Top,180.0
C6,59.70,52.68,Top,180.0
C7,43.18,52.62,Top,180.0
C8,48.77,52.62,Top,0.0
C9,38.34,118.99,Top,0.0
C10,42.56,118.99,Top,0.0
C11,34.07,118.99,Top,0.0
C12,46.82,118.98,Top,0.0
C15,29.49,119.00,Top,180.0
C16,25.05,118.98,Top,180.0
C17,96.88,30.16,Top,270.0
C18,96.88,26.16,Top,270.0
C19,108.88,30.16,Top,270.0
C20,96.88,22.16,Top,270.0
C23,108.92,22.23,Top,90.0
C24,108.92,26.36,Top,270.0
C25,79.88,30.16,Top,270.0
C26,79.88,26.16,Top,270.0
C27,91.88,30.16,Top,270.0
C28,79.88,22.16,Top,270.0
C31,91.88,22.16,Top,90.0
C32,91.88,26.16,Top,270.0
C33,63.38,30.16,Top,270.0
C34,63.38,26.16,Top,270.0
C35,74.88,30.16,Top,270.0
C36,63.38,22.16,Top,270.0
C39,74.98,22.10,Top,90.0
C40,74.98,26.10,Top,270.0
C41,46.38,30.16,Top,270.0
C42,46.38,26.16,Top,270.0
C43,57.88,30.16,Top,270.0
C44,46.38,22.16,Top,270.0
C47,57.82,22.10,Top,90.0
C48,57.82,26.36,Top,270.0
D1,50.56,59.21,Top,90.0
D2,55.18,99.00,Top,0.0
D3,50.60,65.69,Top,90.0
D4,55.17,90.55,Top,0.0
D5,55.17,87.25,Top,0.0
R1,55.19,96.30,Top,0.0
R2,55.20,93.85,Top,180.0
R3,55.17,83.95,Top,180.0
U2,57.50,43.98,Top,0.0
U3,45.99,43.91,Top,0.0
U4,41.72,124.99,Top,90.0
U5,29.97,124.93,Top,90.0
U6,103.38,24.66,Top,0.0
U8,86.38,24.66,Top,0.0
U10,69.38,24.66,Top,0.0
U12,52.25,24.66,Top,0.0
